t,x_norm,z_factor,y_forecast,lower95,upper95
121,1.008333,15.849962,104.18268251323641,98.17171721046496,110.19364781600787
122,1.016667,16.771396,106.46559198849698,98.84112944059953,114.09005453639443
123,1.025,17.751812,108.69299232262999,100.23552518410573,117.15045946115426
124,1.033333,18.749476,110.83116032912129,101.90446895425855,119.75785170398403
125,1.041667,19.721906,112.83795803603299,103.63726852711088,122.0386475449551
126,1.05,20.627719,114.66731967229484,105.30371824599058,124.0309210985991
